idx	X	Y	component
0	1000	41682.7350178123	0
1	1036.595779170784	41723.39676372852	0
2	1036.595779169867	41723.39676372811	0
3	1038.078412757684	41724.76513506655	0
4	1036.596010832975	41723.39686958963	0
5	1038.07889976108	41724.76519117707	0
6	1038.078714056232	41724.76516655734	0
7	1168.582793606343	41771.12715840331	0
8	1168.58267998464	41771.1272066903	0
9	1169.547438370755	41770.841558181	0
10	1168.577878296244	41771.12740766675	0
11	1169.546356711027	41770.8414957919	0
12	1169.547371918401	41770.84146519056	0
13	2091.307791375628	41872.85292388831	0
14	2091.307657652171	41872.85290717966	0
15	2092.298241467302	41872.67077782215	0
16	2091.307364114553	41872.85230592694	0
17	2092.293050862405	41872.65197910743	0
18	2092.29828157695	41872.67080423154	0
19	2153.123534203827	41912.69976152459	0
20	2153.138656419898	41912.70315055845	0
21	2153.821017811002	41913.38546583104	0
22	2153.12532794421	41912.7011069682	0
23	2153.822148378502	41913.38670984691	0
24	2153.82204959957	41913.38661228905	0
25	2524.59258353195	42320.07876476705	0
26	2524.515144222198	42320.1101721554	0
27	2525.030749211423	42320.98088715563	0
28	2524.593296924242	42320.07923837293	0
29	2525.036757888942	42320.98498382098	0
30	2525.036757888083	42320.98498382047	0
31	2528.985212114181	42326.94840966407	0
32	2529.002587471274	42326.95423469225	0
33	2529.57839516813	42327.81698789145	0
34	2528.984132508107	42326.94778556293	0
35	2529.548253834189	42327.83146244382	0
36	2529.579143103467	42327.81767815171	0
37	4445.149137572131	43391.54666462508	0
38	4445.169242704818	43391.55087985039	0
39	4445.324223943586	43391.58517988981	0
40	4445.235145779909	43391.5653980833	0
41	4990.762103117486	43619.28589837001	0
42	4990.76005066475	43619.28525244642	0
43	4990.147599990516	43620.08734474063	0
44	4990.762178016208	43619.28592660069	0
45	4990.154608136756	43620.08950743019	0
46	4990.154208126165	43620.08943172159	0
47	5614.491638870822	43884.22500701557	0
48	5614.491152321381	43884.22310011249	0
49	5615.176849614778	43884.96390883967	0
50	5614.490653177942	43884.224773496	0
51	5615.177367578224	43884.96413380513	0
52	5615.17754680715	43884.96425138423	0
53	5714.901922759047	43969.05697833763	0
54	5714.899337702649	43969.06354824763	0
55	5715.91728280027	43968.93198286732	0
56	5714.902823924931	43969.0576733794	0
57	5715.919629523254	43968.93011907805	0
58	5715.919276189241	43968.9302014681	0
59	5760.927097052125	43987.79459494386	0
60	5760.927733498094	43987.8054515262	0
61	5761.580230577689	43988.38059473788	0
62	5760.927570748325	43987.79475647797	0
63	5761.584814222471	43988.38271089165	0
64	5761.58503779555	43988.38263527245	0
65	5831.69108520844	43995.79487979329	0
66	5831.690753941053	43995.7948856627	0
67	5832.518255455776	43996.39566501501	0
68	5831.693079546254	43995.79493520183	0
69	5832.502836251348	43996.39940368164	0
70	5832.50376511272	43996.39948832974	0
71	5847.809502068667	43998.23226580858	0
72	5847.809261227216	43998.23172075256	0
73	5848.738416984605	43998.66683147482	0
74	5847.809827162797	43998.23228855956	0
75	5848.745043623836	43998.66061774567	0
76	5848.745940250126	43998.66067968836	0
77	5977.831513008168	44015.59629437164	0
78	5977.827847274319	44015.59506521078	0
79	5978.248736480586	44016.50916835951	0
80	5977.831670896434	44015.59628807387	0
81	5978.258648774543	44016.50844486523	0
82	5978.248392994901	44016.50916750389	0
83	6061.296568651807	44046.13030698174	0
84	6061.310290148365	44046.12934546878	0
85	6062.297054754919	44046.48368707339	0
86	6061.296682652173	44046.13047033276	0
87	6062.293193200952	44046.4824920488	0
88	6062.296387742965	44046.48346293421	0
89	6063.958110099702	44047.65205335534	0
90	6063.976121181629	44047.63478340214	0
91	6064.783691618752	44048.26437501372	0
92	6063.957075309794	44047.65196660314	0
93	6064.742827251343	44048.27409352138	0
94	6064.786264055001	44048.26448313176	0
95	6078.849851146246	44051.45039829394	0
96	6078.849418044803	44051.45024140268	0
97	6079.835671763707	44051.89098131707	0
98	6078.850493989667	44051.45001275811	0
99	6079.83092944033	44051.8908035165	0
100	6079.835671762718	44051.89098131697	0
101	6144.75737947796	44083.8660046326	0
102	6144.753290675362	44083.88059179021	0
103	6145.425958660489	44084.6210751116	0
104	6144.757092814376	44083.86581445284	0
105	6145.427331034756	44084.62015640308	0
106	6145.42725374845	44084.6200578811	0
107	6147.108331716518	44085.71187692304	0
108	6147.108493470558	44085.7114434953	0
109	6148.098345011196	44086.1071115562	0
110	6147.104190591461	44085.71128969405	0
111	6148.075776349418	44086.11700715916	0
112	6148.09776378682	44086.10689765245	0
113	6789.518900070296	44297.27084252413	0
114	6789.518094517596	44297.26420269129	0
115	6789.701933873432	44298.66225646767	0
116	6789.519205308272	44297.27045586004	0
117	6789.788270012083	44298.40339362285	0
118	6789.78951918667	44298.40533746151	0
119	6830.161109192675	44318.30244092706	0
120	6830.160965957941	44318.30241701569	0
121	6878.480759213729	44331.60704497142	0
122	6830.174233873346	44318.28951626558	0
123	6878.486841881793	44331.60880227073	0
124	6878.488729472352	44331.60793954405	0
125	6900.249232450202	44340.52129210524	0
126	6900.22988163089	44340.52584495425	0
127	6901.111992256192	44341.07337487616	0
128	6900.249303459816	44340.52130781625	0
129	6901.139329674799	44341.06335337544	0
130	6901.139509841196	44341.06310952231	0
131	6918.474564427692	44343.9066717603	0
132	6918.474771146357	44343.90691857412	0
133	6919.521393811629	44344.02727192196	0
134	6918.47460603049	44343.90670751829	0
135	6919.521637138612	44344.0269549487	0
136	6919.522363361364	44344.02694190242	0
137	7017.557406586886	44344.17584375975	0
138	7017.55781683181	44344.17579996145	0
139	7018.597221187665	44344.17575568578	0
140	7017.56766167227	44344.1789028179	0
141	7018.587599482744	44344.17676590163	0
142	7018.587694200971	44344.17678176341	0
143	7029.850263067165	44345.40819194579	0
144	7029.849925563089	44345.40813341172	0
145	7030.816704031007	44345.77073083456	0
146	7029.850073869413	44345.40813239138	0
147	7030.820053071628	44345.77293496326	0
148	7030.821575441165	44345.77330915927	0
149	7038.755711366575	44347.64331136851	0
150	7038.755468571559	44347.64322143823	0
151	7039.602804492228	44348.22834765889	0
152	7038.756874690233	44347.64363518275	0
153	7039.605819099641	44348.22701834274	0
154	7039.606014406745	44348.22701559502	0
155	7052.724805987564	44353.66570211784	0
156	7052.724352297279	44353.66192123251	0
157	7053.523959835962	44354.22507980062	0
158	7052.725376959526	44353.66595960197	0
159	7053.527317993008	44354.2203258568	0
