idx	X	Y	component
0	1000	40629.17020495364	0
1	1055.084338068482	40635.25145023133	0
2	1055.08439204939	40635.25154526608	0
3	1057.059025986222	40634.93563721	0
4	1055.084098276504	40635.25132632902	0
5	1057.05844854319	40634.93474009325	0
6	1057.059025987019	40634.9356372106	0
7	1167.476608780584	40719.8003421787	0
8	1167.475976009759	40719.80025238638	0
9	1168.449534253283	40720.11750736187	0
10	1167.475604016159	40719.80032606862	0
11	1168.448176254617	40720.1172766105	0
12	1168.449534254283	40720.11750736179	0
13	2033.675495571788	41033.30294577355	0
14	2033.674955877817	41033.30291289049	0
15	2034.486660502342	41033.8197028721	0
16	2033.674051813749	41033.3037810742	0
17	2034.483245393541	41033.82161754161	0
18	2034.483400181431	41033.82161522913	0
19	2105.914214577278	41044.54201913934	0
20	2105.914924923123	41044.54279693123	0
21	2106.406009865652	41045.36087744179	0
22	2105.912326566457	41044.54744658773	0
23	2106.393750040403	41045.35833604855	0
24	2106.408730536819	41045.36073494158	0
25	2649.566946164265	41089.87797802247	0
26	2649.568122084525	41089.87827593359	0
27	2650.56509583944	41090.23176036376	0
28	2649.541537901485	41089.85818048926	0
29	2650.557735657902	41090.22946545602	0
30	2650.564906978871	41090.23148372525	0
31	2657.448060593739	41092.41838542222	0
32	2657.447747708844	41092.41808756975	0
33	2658.265347560642	41093.0574628875	0
34	2657.437114389428	41092.41916139823	0
35	2658.222288437843	41093.07457328116	0
36	2658.265552983095	41093.05749985323	0
37	4825.078176074923	41527.85736946263	0
38	4825.077885702129	41527.85783301904	0
39	4825.936869802357	41527.93320117829	0
40	4825.936004427578	41527.93299007095	0
41	5409.471661055861	41398.73600773219	0
42	5409.471216651382	41398.7353209912	0
43	5409.17076919413	41397.86671089145	0
44	5409.47166105537	41398.73600773132	0
45	5409.216190676012	41397.82291240406	0
46	5409.21607949345	41397.82290000693	0
47	6063.793644855912	41220.45189795141	0
48	6063.790730695608	41220.45072820841	0
49	6064.160464483011	41219.52614358425	0
50	6063.794405621851	41220.45171177743	0
51	6064.172804939069	41219.5262881466	0
52	6064.173064856022	41219.52619899488	0
53	6184.418976646077	41175.41656330065	0
54	6184.417348305258	41175.41639490549	0
55	6185.447144769027	41175.62551432477	0
56	6184.418917268369	41175.4164655335	0
57	6185.444954692262	41175.6255015127	0
58	6185.445961880272	41175.62453982103	0
59	6232.299520287299	41161.79511898743	0
60	6232.301080297584	41161.79137357443	0
61	6233.29426431347	41161.58226149186	0
62	6232.299388593783	41161.79508589082	0
63	6233.296452878207	41161.58164926095	0
64	6233.295003227777	41161.58216380117	0
65	6300.930894146244	41140.97669956787	0
66	6300.931145628165	41140.97589129332	0
67	6301.533752867388	41140.17080759648	0
68	6300.930540668254	41140.97670764272	0
69	6301.557587065643	41140.18253177298	0
70	6301.534024160326	41140.17086837799	0
71	6316.85930112017	41136.74092743584	0
72	6316.861224503005	41136.73975715951	0
73	6317.857250869281	41136.92244113224	0
74	6316.859071906907	41136.74097873597	0
75	6317.856490778828	41136.92265582027	0
76	6317.858716206985	41136.92284381176	0
77	6448.823932049814	41151.11301762956	0
78	6448.82211445905	41151.1124937188	0
79	6449.559266964534	41151.8251988595	0
80	6448.824143681486	41151.11305373302	0
81	6449.582122308231	41151.81780180493	0
82	6449.583324818501	41151.81778126692	0
83	6537.331485472616	41167.52887823214	0
84	6537.326181670647	41167.52850040106	0
85	6538.232413229169	41167.99345866081	0
86	6537.331485473293	41167.52887823141	0
87	6538.245845071153	41167.98215294661	0
88	6538.233337097794	41167.99348552498	0
89	6540.294529909013	41168.35027522066	0
90	6540.260405891047	41168.40677974495	0
91	6541.195352410312	41168.81832788768	0
92	6540.293561756127	41168.35053301367	0
93	6541.19812707181	41168.81846418751	0
94	6541.198594547412	41168.81842716701	0
95	6555.317072146347	41172.62417063181	0
96	6555.317643041359	41172.62430651649	0
97	6556.33649669799	41172.72425584434	0
98	6555.32210430026	41172.61772703858	0
99	6556.354201221282	41172.70697869587	0
100	6556.354864397395	41172.70713188071	0
101	6630.182109742989	41176.12406355431	0
102	6630.182467900479	41176.12827887966	0
103	6631.221723997278	41176.05065160667	0
104	6630.182363160231	41176.12403469039	0
105	6631.216009819069	41176.05048895677	0
106	6631.215859870059	41176.05028744421	0
107	6633.242972873788	41175.6691335201	0
108	6633.243270437706	41175.66912758056	0
109	6634.264848896259	41175.45355821335	0
110	6633.247893383617	41175.66542332609	0
111	6634.261667915795	41175.44756544275	0
112	6634.265022530737	41175.45346930684	0
113	7292.361337787046	40987.07785300908	0
114	7292.356459618699	40987.07091302526	0
115	7293.198566465315	40986.56042057522	0
116	7292.361534059299	40987.07782544257	0
117	7293.201734030525	40986.55763799968	0
118	7293.201376295074	40986.55771485843	0
119	7338.03464504431	40984.06709504515	0
120	7337.898353664859	40983.84357013524	0
121	7388.051031802559	40973.25165440961	0
122	7338.033694817299	40984.06707126649	0
123	7388.054608845272	40973.25410875151	0
124	7388.051773537805	40973.2518265884	0
125	7412.01694695904	40974.15191617956	0
126	7411.992167913966	40974.12682896727	0
127	7412.880639514522	40973.65901865966	0
128	7412.017578757808	40974.15169356434	0
129	7412.899974666212	40973.6634293797	0
130	7412.887322625491	40973.65883033953	0
131	7430.344472828732	40970.81035604618	0
132	7430.343696117558	40970.80976896103	0
133	7431.356280596883	40970.75838800195	0
134	7430.354325715882	40970.82305113653	0
135	7431.360738489686	40970.76133756623	0
136	7431.360935019067	40970.76132870886	0
137	7528.669934047528	40954.95992889584	0
138	7528.669060022028	40954.95785982781	0
139	7529.61244363552	40955.16258013594	0
140	7528.669747856988	40954.95995913022	0
141	7529.624507448385	40955.16560921859	0
142	7529.62801882573	40955.16584548578	0
143	7541.16671423872	40956.72579121365	0
144	7541.166581178364	40956.72572038755	0
145	7542.211962515106	40956.52394288296	0
146	7541.171112937711	40956.7266916562	0
147	7542.206497873773	40956.707870913	0
148	7542.211396087172	40956.52478181882	0
149	7550.449062585358	40957.24384758499	0
150	7550.443677927426	40957.24240269106	0
151	7551.464484890959	40957.37153388359	0
152	7550.449477461374	40957.24381222273	0
153	7551.490399403174	40957.38376714938	0
154	7551.490313112543	40957.38379784186	0
155	7566.038611627609	40958.57582672187	0
156	7566.041601009827	40958.57458532262	0
157	7566.917599337808	40958.49759296852	0
158	7566.03961862799	40958.57561846227	0
159	7567.005816752808	40958.57564712982	0
160	7567.007553107891	40958.57559402253	0
161	7714.869093125508	40968.79649219822	0
162	7714.873093932452	40968.79109285118	0
163	7716.703910726501	40969.63236731742	0
164	7714.868658291522	40968.79637965705	0
165	7716.703898400854	40969.63220834854	0
166	7716.704212204	40969.63212902226	0
167	7720.899152394275	40969.92352531361	0
168	7721.019479783874	40969.90778813463	0
169	7721.476472058548	40969.65075198957	0
170	7720.900927843308	40969.92277066915	0
171	7721.683160387984	40969.68011360972	0
172	7721.482515653039	40969.64884293943	0
173	8059.632280165846	40947.65751143462	0
174	8059.632807637732	40947.65748816875	0
175	8060.618394628669	40947.59309597901	0
176	8059.616650903321	40947.73349725679	0
177	8060.608049796196	40947.59267988606	0
178	8060.618092927398	40947.59300121746	0
179	8079.139666422405	40948.16851635646	0
180	8079.139348317454	40948.1680888292	0
181	8080.047990630279	40948.04496833964	0
182	8079.126024456393	40948.16446841414	0
183	8080.027988903497	40948.02748076622	0
184	8080.04751830261	40948.04495782747	0
185	8268.623327513851	40933.46467209716	0
186	8268.610368839465	40933.4430666017	0
187	8269.57663061038	40933.1393902287	0
188	8268.623249191063	40933.46466458243	0
189	8269.580717444071	40933.14190966645	0
190	8269.581785463371	40933.14185105015	0
191	8312.311044223832	40933.28368511133	0
192	8312.311327130432	40933.28374292324	0
193	8313.285229013527	40933.13568191494	0
194	8312.314663175566	40933.28537319267	0
195	8313.305104323998	40933.15761225217	0
196	8313.304479639188	40933.15763585502	0
197	8318.562240410956	40933.44919615583	0
198	8318.559269349087	40933.44744114158	0
199	8319.565956113685	40933.3145050436	0
200	8318.563096573729	40933.44919141426	0
201	8319.565440444017	40933.37865347349	0
202	8319.566473693874	40933.37863310181	0
203	8341.980659549496	40937.66162910829	0
204	8341.973076619764	40937.64746442645	0
205	8344.038015108246	40937.35872901585	0
206	8341.981690629687	40937.66166063343	0
207	8344.030218260108	40937.6457521164	0
208	8344.030430739123	40937.6457797781	0
209	8345.07490150131	40937.6236842315	0
210	8345.07801567042	40937.61109665083	0
211	8346.068161096617	40937.83669878363	0
212	8345.074988984845	40937.62348993481	0
213	8346.071074830325	40937.84861972321	0
214	8346.068862055257	40937.83681793382	0
215	8352.091335597383	40939.58675551475	0
216	8352.081553338227	40939.5766843099	0
217	8353.09126283873	40939.83335251364	0
218	8352.090406816966	40939.58659953871	0
219	8353.093842304843	40939.83374811154	0
220	8353.093114582625	40939.83355725986	0
221	8354.117828627524	40940.06410588033	0
222	8354.116470296933	40940.0636274802	0
223	8355.01735064161	40940.56977447744	0
224	8354.117374397607	40940.06391701433	0
225	8355.031172280196	40940.55806917712	0
226	8355.028887453806	40940.55769886787	0
227	9208.48642230445	41251.57442592021	0
228	9208.487083294909	41251.5747788705	0
229	9209.212483952295	41252.10238983301	0
230	9208.47182688037	41251.54343162874	0
231	9209.245109883952	41252.08104099265	0
232	9209.245693461457	41252.08101823852	0
233	9445.167612579309	41350.13792986939	0
234	9445.168787283241	41350.13608599195	0
235	9445.656945397739	41349.40198352712	0
236	9445.167351938064	41350.1379201231	0
237	9445.796257439204	41349.42256726907	0
238	9445.796866966051	41349.42274510593	0
239	9705.09841340916	41402.25613575958	0
240	9704.940105892521	41402.18438076889	0
241	9705.803482039973	41402.66103472479	0
242	9705.097790581622	41402.25579218211	0
243	9705.861788008348	41402.63308778436	0
244	9705.807783461096	41402.66272657577	0
245	9761.893139010466	41417.29732951368	0
246	9761.88581160485	41417.29969731698	0
247	9762.837993152982	41417.7217404414	0
248	9761.893441751567	41417.29747255246	0
249	9762.841303090117	41417.71803552037	0
250	9762.841213304273	41417.71794181465	0
251	9767.851082603211	41418.80386370399	0
252	9767.850733477131	41418.80393824886	0
253	9768.787704802951	41419.20672170792	0
254	9767.854345914195	41418.8011156487	0
255	9768.799681503879	41419.19426683606	0
256	9768.799762344075	41419.19425692716	0
257	9781.195960736419	41419.58404133371	0
258	9781.191003596014	41419.55111794623	0
259	9782.137715717887	41420.20169022954	0
260	9781.1959826167	41419.58376510141	0
261	9782.165774241977	41419.89154282116	0
262	9782.136849212053	41420.2005902504	0
263	9823.657894857693	41420.40932659135	0
264	9823.658333486554	41420.40934898345	0
265	9824.498429221116	41421.01838263548	0
266	9823.652294440588	41420.38238443254	0
